Country,League,Club,Player Names,Mins,Goals,xG,On Target Per Avg Match,Year
 Netherlands,Eredivisie,(VVV),Georgios Giakoumakis,911,9,7.19,1.46,2019
USA,MLS,(TOR),Alex Pozuelo,2247,9,8.28,1.06,2020
USA,MLS,(MIN),Kevin Molino,1430,11,6.32,1.33,2020
USA,MLS,(RSL),Damir Kreilach,1872,8,6.11,0.96,2020
USA,MLS,(LAF),Bradley Wright-Phillips,1190,8,5.89,1.2,2020
USA,MLS,(LAF),Diego Rossi,1816,14,11.85,1.78,2020
USA,MLS,(SOU),Nicolas Lodeiro,2014,8,6.36,0.9,2020
USA,MLS,(SOU),Raul Ruidiaz,1626,14,8.56,1.4,2020
USA,MLS,(ORL),Daryl Dike,1482,8,3.74,0.83,2020
USA,MLS,(CCR),Gyasi Zardes,2034,14,11.99,1.17,2020
USA,MLS,(LAG),Cristian Pavon,2106,10,5.99,1.13,2020
USA,MLS,(ORL),Chris Mueller,1726,10,6.0,1.1,2020
USA,MLS,(MON),Romell Quioto,1676,9,5.82,1.3,2020
USA,MLS,(SOU),Jordan Morris,1927,11,8.32,0.94,2020
USA,MLS,(PHI),Kacper Przybylko,2216,8,8.63,1.16,2020
USA,MLS,(NER),Gustavo Bou,1701,8,6.8,1.56,2020
USA,MLS,(CHF),Robert Beric,2063,13,9.99,1.29,2020
USA,MLS,(TOR),Ayo Akinola,1195,9,7.3,1.51,2020
USA,MLS,(POR),Jeremy Ebobisse,1189,8,3.63,1.2,2020
USA,MLS,(POR),Diego Valeri,1864,8,5.3,0.87,2020
USA,MLS,(SJE),Chris Wondolowski,1509,8,7.31,1.26,2020
Spain,La Liga,(SEV),Youssef   En-Nesyri,465,4,3.33,0.82,2020
Spain,La Liga,(SOC),Portu ,691,4,1.53,0.55,2020
Spain,La Liga,(RMA),Karim Benzema,741,4,4.91,1.54,2020
Spain,La Liga,(VAL),Carlos Soler,599,4,3.34,0.79,2020
Spain,La Liga,(BET),Cristian Tello,629,4,1.92,1.21,2020
